IDIndikator;skrIndikator;IDTer;nTer;God+Mes;nVrTacka;nProizvod;IDVrPod;nVrPod;Vrednost;IDStatusPodatka;nStatusPodatka;IDStatusPoverljivosti;nStatusPoverljivosti;IDJedinicaMere;nJedinicaMere
130102IND01;Biljna prizvodnja, od 2005;RS11;Beogradski region;202400;2024;Pšenica;3;prinos, t/ha;5.5;A;Konačan podatak;F;Slobodan za objavlјivanje;;
130102IND01;Biljna prizvodnja, od 2005;RS11;Beogradski region;202400;2024;Ječam;1;požnjevena površina, ha / rodna površina, ha;7038;A;Konačan podatak;F;Slobodan za objavlјivanje;;
130102IND01;Biljna prizvodnja, od 2005;RS11;Beogradski region;202400;2024;Ječam;2;ukupan prinos, t;34611;A;Konačan podatak;F;Slobodan za objavlјivanje;;
130102IND01;Biljna prizvodnja, od 2005;RS11;Beogradski region;202400;2024;Ječam;3;prinos, t/ha;4.9;A;Konačan podatak;F;Slobodan za objavlјivanje;;
130102IND01;Biljna prizvodnja, od 2005;RS11;Beogradski region;202400;2024;Kukuruz;1;požnjevena površina, ha / rodna površina, ha;40015;A;Konačan podatak;F;Slobodan za objavlјivanje;;
130102IND01;Biljna prizvodnja, od 2005;RS11;Beogradski region;202400;2024;Kukuruz;2;ukupan prinos, t;201996;A;Konačan podatak;F;Slobodan za objavlјivanje;;
130102IND01;Biljna prizvodnja, od 2005;RS11;Beogradski region;202400;2024;Kukuruz;3;prinos, t/ha;5.0;A;Konačan podatak;F;Slobodan za objavlјivanje;;
130102IND01;Biljna prizvodnja, od 2005;RS11;Beogradski region;202500;2025;Pšenica;1;požnjevena površina, ha / rodna površina, ha;32164;A;Konačan podatak;F;Slobodan za objavlјivanje;;
130102IND01;Biljna prizvodnja, od 2005;RS11;Beogradski region;202500;2025;Pšenica;2;ukupan prinos, t;186498;A;Konačan podatak;F;Slobodan za objavlјivanje;;
130102IND01;Biljna prizvodnja, od 2005;RS11;Beogradski region;202500;2025;Pšenica;3;prinos, t/ha;5.8;A;Konačan podatak;F;Slobodan za objavlјivanje;;
130102IND01;Biljna prizvodnja, od 2005;RS11;Beogradski region;202500;2025;Ječam;1;požnjevena površina, ha / rodna površina, ha;7138;A;Konačan podatak;F;Slobodan za objavlјivanje;;
130102IND01;Biljna prizvodnja, od 2005;RS11;Beogradski region;202500;2025;Ječam;2;ukupan prinos, t;35740;A;Konačan podatak;F;Slobodan za objavlјivanje;;
130102IND01;Biljna prizvodnja, od 2005;RS11;Beogradski region;202500;2025;Ječam;3;prinos, t/ha;5.0;A;Konačan podatak;F;Slobodan za objavlјivanje;;
130102IND01;Biljna prizvodnja, od 2005;RS11;Beogradski region;202500;2025;Kukuruz;1;požnjevena površina, ha / rodna površina, ha;38476;A;Konačan podatak;F;Slobodan za objavlјivanje;;
130102IND01;Biljna prizvodnja, od 2005;RS11;Beogradski region;202500;2025;Kukuruz;2;ukupan prinos, t;180796;A;Konačan podatak;F;Slobodan za objavlјivanje;;
130102IND01;Biljna prizvodnja, od 2005;RS11;Beogradski region;202500;2025;Kukuruz;3;prinos, t/ha;4.7;A;Konačan podatak;F;Slobodan za objavlјivanje;;
130102IND01;Biljna prizvodnja, od 2005;RS12;Region Vojvodine;201000;2010;Pšenica;1;požnjevena površina, ha / rodna površina, ha;310810;A;Konačan podatak;F;Slobodan za objavlјivanje;;
130102IND01;Biljna prizvodnja, od 2005;RS12;Region Vojvodine;201000;2010;Pšenica;2;ukupan prinos, t;1156398;A;Konačan podatak;F;Slobodan za objavlјivanje;;
