proizvod,poreklo,datum,mesto_id,cena
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,08.04.2013,Beograd-pijaca,30.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,15.04.2013,Beograd-pijaca,30.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,22.04.2013,Beograd-pijaca,30.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,29.04.2013,Beograd-pijaca,30.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,06.05.2013,Beograd-pijaca,30.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,13.05.2013,Beograd-pijaca,30.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,20.05.2013,Beograd-pijaca,30.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,27.05.2013,Beograd-pijaca,30.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,03.06.2013,Beograd-pijaca,30.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,10.06.2013,Beograd-pijaca,30.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,17.06.2013,Beograd-pijaca,28.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,24.06.2013,Beograd-pijaca,28.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,01.07.2013,Beograd-pijaca,28.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,08.07.2013,Beograd-pijaca,28.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,15.07.2013,Beograd-pijaca,28.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,22.07.2013,Beograd-pijaca,28.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,29.07.2013,Beograd-pijaca,26.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,05.08.2013,Beograd-pijaca,24.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,12.08.2013,Beograd-pijaca,24.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,19.08.2013,Beograd-pijaca,22.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,26.08.2013,Beograd-pijaca,20.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,02.09.2013,Beograd-pijaca,20.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,09.09.2013,Beograd-pijaca,20.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,16.09.2013,Beograd-pijaca,20.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,23.09.2013,Beograd-pijaca,20.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,30.09.2013,Beograd-pijaca,20.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,07.10.2013,Beograd-pijaca,20.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,14.10.2013,Beograd-pijaca,20.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,21.10.2013,Beograd-pijaca,20.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,28.10.2013,Beograd-pijaca,20.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,04.11.2013,Beograd-pijaca,18.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,11.11.2013,Beograd-pijaca,18.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,18.11.2013,Beograd-pijaca,18.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,25.11.2013,Beograd-pijaca,18.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,02.12.2013,Beograd-pijaca,18.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,09.12.2013,Beograd-pijaca,20.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,16.12.2013,Beograd-pijaca,20.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,23.12.2013,Beograd-pijaca,20.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,30.12.2013,Beograd-pijaca,20.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,06.01.2014,Beograd-pijaca,20.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,13.01.2014,Beograd-pijaca,20.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,20.01.2014,Beograd-pijaca,20.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,27.01.2014,Beograd-pijaca,20.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,03.02.2014,Beograd-pijaca,20.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,10.02.2014,Beograd-pijaca,20.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,17.02.2014,Beograd-pijaca,20.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,24.02.2014,Beograd-pijaca,20.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,03.03.2014,Beograd-pijaca,20.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,10.03.2014,Beograd-pijaca,20.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,17.03.2014,Beograd-pijaca,20.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,24.03.2014,Beograd-pijaca,20.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,31.03.2014,Beograd-pijaca,20.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,07.04.2014,Beograd-pijaca,20.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,14.04.2014,Beograd-pijaca,20.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,21.04.2014,Beograd-pijaca,22.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,28.04.2014,Beograd-pijaca,22.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,05.05.2014,Beograd-pijaca,22.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,12.05.2014,Beograd-pijaca,22.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,07.07.2014,Beograd-pijaca,22.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,14.07.2014,Beograd-pijaca,22.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,21.07.2014,Beograd-pijaca,22.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,28.07.2014,Beograd-pijaca,22.00
"Kukuruz (okrunjen, veštački sušen) p:džak 50kg",Domaće,04.08.2014,Beograd-pijaca,20.00
